sum = 488117
nV = 500
401 412 -662
135 136 -657
176 242 -649
199 258 -621
177 178 -620
349 352 -613
377 378 -592
19 474 -590
410 411 -579
227 473 -573
145 370 -572
197 412 -564
37 303 -562
26 322 -560
343 452 -536
216 393 -534
22 237 -508
8 194 -507
53 414 -507
214 497 -505
3 231 -494
161 162 -487
235 298 -449
434 488 -447
126 249 -441
175 256 -438
299 300 -424
493 494 -421
165 198 -414
92 332 -403
215 470 -401
476 477 -399
252 287 -397
322 377 -382
132 397 -349
254 490 -340
368 470 -334
313 487 -320
98 323 -295
280 409 -292
15 211 -290
126 127 -244
188 420 -243
195 350 -212
270 271 -202
371 448 -200
330 463 -195
215 493 -191
55 138 -184
265 424 -165
80 151 -162
300 301 -157
1 132 -151
200 407 -146
52 53 -140
220 250 -135
57 176 -130
185 428 -114
163 169 -105
295 426 -105
74 75 -102
425 498 -57
371 372 -43
475 476 -37
82 382 -25
270 311 -14
190 191 -9
99 157 -9
150 331 -3
256 257 -1
100 244 13
113 157 16
148 149 27
408 409 39
24 348 48
84 443 55
132 153 59
154 448 61
28 29 68
27 372 69
156 370 76
116 469 76
333 450 77
118 373 91
276 277 101
480 481 129
178 468 134
393 394 145
6 343 154
129 289 165
95 247 166
372 373 170
11 69 171
200 349 171
39 40 173
59 326 185
237 341 190
16 110 221
10 114 223
127 425 224
249 459 238
38 376 247
149 150 265
17 18 267
100 405 281
103 162 291
60 337 302
323 476 327
495 496 327
44 297 339
20 129 356
282 312 375
24 89 401
351 471 409
167 168 428
451 452 452
79 418 484
130 270 487
121 122 491
76 226 504
3 110 504
349 350 510
347 348 536
295 498 537
280 378 544
4 43 566
1 316 569
231 276 582
194 274 583
319 376 585
61 62 591
290 322 593
41 376 608
170 193 617
114 332 618
139 140 626
60 454 632
169 170 636
107 172 644
178 179 653
152 393 663
166 282 702
42 268 712
162 298 718
244 448 718
5 122 722
257 274 730
206 207 752
259 443 755
392 493 759
149 255 763
111 205 781
15 496 783
73 121 784
220 353 789
246 247 792
104 229 809
48 372 823
204 283 832
137 248 835
148 160 835
67 122 842
28 496 843
71 266 845
428 487 896
18 19 903
20 385 904
2 39 907
